noise_type,noise_level,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
asymmetric,0.0,0.9613919419869935,0.0011343204089818728,0.9362350137468806,0.0015732604291105003,0.9613054382766706,0.0011466749861725129
asymmetric,0.1,0.9439481845317971,0.0011708904532851938,0.9065477950553424,0.003239778236198205,0.9437808764488598,0.0011855414273387434
asymmetric,0.2,0.9168172680202382,0.0018039407942254959,0.8510600663586729,0.0042856205840694096,0.9167350647190707,0.0018095802129406856
asymmetric,0.3,0.8581866084888269,0.001320256100038626,0.7511130890773882,0.0036906992202473525,0.859819917797483,0.0013761030744452243
asymmetric,0.4,0.7328560125204344,0.002155710386547731,0.6076916672024304,0.0052977569702440195,0.7435330942109933,0.001568394041950312
symmetric,0.0,0.9613919419869935,0.0011343204089818728,0.9362350137468806,0.0015732604291105003,0.9613054382766706,0.0011466749861725129
symmetric,0.1,0.9473933304145653,0.001387883309301393,0.9106378718691002,0.003380193127011226,0.9471803263011912,0.001379130653155797
symmetric,0.2,0.9359965133250977,0.0012098813028271053,0.8887157863902992,0.004799622276347156,0.9356944760717705,0.0012240377869084456
symmetric,0.3,0.9226289856327423,0.0013259488398104627,0.8575072549427116,0.006480714778441868,0.9223202834851202,0.0013271095252499615
symmetric,0.4,0.9037308577491533,0.0014439734666620927,0.8070814100503227,0.0029470162075646003,0.9037352423525062,0.0013917845219401542
