noise_type,noise_level,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
asymmetric,0.0,0.92714,0.001612606585624632,0.8894528693100666,0.005669003153814879,0.9268940068308554,0.001643250573774917
asymmetric,0.1,0.90647,0.0023443016017568935,0.8583945503983195,0.005138918489192134,0.9058510117317626,0.002368104877342516
asymmetric,0.2,0.8800399999999999,0.0018572156579137673,0.8235637527723109,0.0034198662373859335,0.8784387131501321,0.001957053607255313
asymmetric,0.3,0.84527,0.002635004743828766,0.7787081838319604,0.009510973993160993,0.8418640295865902,0.0028294087700033825
asymmetric,0.4,0.79342,0.002098392241693627,0.6830630213497246,0.011646962528233669,0.7874191188120145,0.0023947712852867035
symmetric,0.0,0.92714,0.001612606585624632,0.8894528693100666,0.005669003153814879,0.9268940068308554,0.001643250573774917
symmetric,0.1,0.9122999999999999,0.001605070091927444,0.8559989649213249,0.0043428742503189,0.9117832047909094,0.0016005333305250502
symmetric,0.2,0.89886,0.0017282216293056988,0.8284749759970819,0.004944347531524035,0.8979196276156742,0.0017316902962081385
symmetric,0.3,0.88092,0.0010305338422390486,0.780428068042093,0.008447328944117026,0.8789720938557893,0.0013675927992489016
symmetric,0.4,0.85983,0.001641112427592937,0.677576493970357,0.013250314374473503,0.8550773215072672,0.0016568289230289664
