noise_type,noise_level,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
asymmetric,0.0,0.9429183665463873,0.0010517863929495619,0.910722492789156,0.0027086861949691993,0.9427518694844549,0.0010562719219057157
asymmetric,0.1,0.9344073282504677,0.0010653109142711864,0.8967343110438171,0.002086366995302469,0.9343532060982976,0.0010782231633499836
asymmetric,0.2,0.9060027687688873,0.0017696048662992614,0.8362670241079224,0.00462845262107234,0.9072504270270395,0.0017508455512418757
asymmetric,0.3,0.8324010560581628,0.001840705215956743,0.7268571141693613,0.004710369220480379,0.8417266438884212,0.0016669159115285902
asymmetric,0.4,0.691631819858998,0.0021116661821549863,0.5881171760503123,0.004138823648380271,0.7231284175194614,0.0015022371738647744
symmetric,0.0,0.9429183665463873,0.0010517863929495619,0.910722492789156,0.0027086861949691993,0.9427518694844549,0.0010562719219057157
symmetric,0.1,0.9345450186317791,0.0013148231504788404,0.8987652273198072,0.003965436484334688,0.9344558191081422,0.0013303453148436851
symmetric,0.2,0.9225113752435632,0.0017957836303912997,0.8600021641177028,0.003371906278528031,0.9228532877736775,0.0018237363297109504
symmetric,0.3,0.9018548191706076,0.0008865270809327006,0.7939583123458551,0.003270790856667657,0.904277788076244,0.0009117223904954288
symmetric,0.4,0.8620190200145175,0.0016737593196656433,0.7068283774974528,0.003194237292231847,0.87051576868702,0.0014265370149619946
