ensemble,domain,noise_type,noise_level,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,n_folds
RF,Image,asymmetric,0.0,0.9023545098461275,0.00838161681741326,0.9065432098765431,0.007867041174348652,5
RF,Image,asymmetric,0.1,0.9008917125190254,0.007802829755358383,0.9051851851851852,0.0075266887837988974,5
RF,Image,asymmetric,0.2,0.8938276046972575,0.0075607141864484995,0.8985185185185186,0.0071135112547595514,5
RF,Image,asymmetric,0.3,0.8808694684456881,0.004269820455899219,0.8858024691358025,0.004129348197611001,5
RF,Image,asymmetric,0.4,0.8035015916403625,0.010907551281790015,0.8111728395061728,0.010499272370837172,5
RF,Image,symmetric,0.0,0.9023545098461275,0.00838161681741326,0.9065432098765431,0.007867041174348652,5
RF,Image,symmetric,0.1,0.9014245415991274,0.0073676460196864324,0.9058024691358024,0.006809036510736504,5
RF,Image,symmetric,0.2,0.9022174057401063,0.006383159329300197,0.9064197530864198,0.005829167628798062,5
RF,Image,symmetric,0.3,0.900049062797024,0.0027991718188510543,0.9042592592592593,0.002404635948244753,5
RF,Image,symmetric,0.4,0.8953966641854796,0.006487134432485473,0.8996913580246912,0.005908700530579155,5
Stacking,Image,asymmetric,0.0,0.9352360312458933,0.0047574625879267685,0.9377777777777778,0.004132807096609919,5
Stacking,Image,asymmetric,0.1,0.9274242021854407,0.005643397695579446,0.9304938271604939,0.005120108976130271,5
Stacking,Image,asymmetric,0.2,0.90083448550686,0.009249803381005098,0.9040740740740741,0.008643077531120699,5
Stacking,Image,asymmetric,0.3,0.8594925486707229,0.006180136965903162,0.8639506172839507,0.005742731634069416,5
Stacking,Image,asymmetric,0.4,0.7765896058184707,0.01203785484710336,0.7835185185185185,0.010608038610320681,5
Stacking,Image,symmetric,0.0,0.9352360312458933,0.0047574625879267685,0.9377777777777778,0.004132807096609919,5
Stacking,Image,symmetric,0.1,0.9361564464230995,0.0071456898646367235,0.9387037037037038,0.006556735380102523,5
Stacking,Image,symmetric,0.2,0.9288423429024452,0.0049336471109962575,0.9315432098765433,0.004511876991754245,5
Stacking,Image,symmetric,0.3,0.9215472792593605,0.005856584444291111,0.9245061728395061,0.00521321787417006,5
Stacking,Image,symmetric,0.4,0.9140996466071598,0.0024503972623299104,0.9176543209876543,0.0020864745408834006,5
Voting,Image,asymmetric,0.0,0.9333905980492692,0.005506731797693604,0.9360493827160493,0.004798365379850684,5
Voting,Image,asymmetric,0.1,0.9291777689506379,0.005657249681623926,0.9321604938271605,0.005040417347959354,5
Voting,Image,asymmetric,0.2,0.9187696213420249,0.010106946264176223,0.9219135802469136,0.009282378544334962,5
Voting,Image,asymmetric,0.3,0.8867370961354434,0.006233324703436501,0.890925925925926,0.005793103815863186,5
Voting,Image,asymmetric,0.4,0.7689499045729832,0.018747861661765588,0.7756172839506172,0.017910544620313766,5
Voting,Image,symmetric,0.0,0.9333905980492692,0.005506731797693604,0.9360493827160493,0.004798365379850684,5
Voting,Image,symmetric,0.1,0.9328388186924453,0.005470738587377581,0.9355555555555556,0.004837907584301132,5
Voting,Image,symmetric,0.2,0.9284949838089606,0.005814957669717321,0.9313580246913581,0.005027170498910697,5
Voting,Image,symmetric,0.3,0.9251635299301245,0.005992258472037167,0.9281481481481482,0.00539196735849936,5
Voting,Image,symmetric,0.4,0.9191574567072275,0.005859231677799941,0.9224074074074075,0.005121039143996302,5
XGBoost,Image,asymmetric,0.0,0.9348551160567382,0.004525063153708942,0.9374074074074074,0.003996883788439436,5
XGBoost,Image,asymmetric,0.1,0.9302214346131581,0.005735762595323614,0.9332098765432099,0.005121039143996362,5
XGBoost,Image,asymmetric,0.2,0.9143482950148716,0.009972840865687461,0.9175925925925925,0.009348846438803118,5
XGBoost,Image,asymmetric,0.3,0.8656318529302862,0.009558338987445625,0.8696913580246914,0.00900473211299285,5
XGBoost,Image,asymmetric,0.4,0.7204559518048027,0.016892641782709626,0.7258641975308642,0.015751932598326728,5
XGBoost,Image,symmetric,0.0,0.9348551160567382,0.004525063153708942,0.9374074074074074,0.003996883788439436,5
XGBoost,Image,symmetric,0.1,0.9339564548768078,0.006017849416151371,0.9365432098765432,0.00532172519307746,5
XGBoost,Image,symmetric,0.2,0.9277561407759464,0.008183785670919026,0.9307407407407406,0.007360965523833965,5
XGBoost,Image,symmetric,0.3,0.9227100903851999,0.004839970883267673,0.9258024691358024,0.004465186509594259,5
XGBoost,Image,symmetric,0.4,0.9094000059239405,0.005680239082785794,0.9131481481481483,0.005222346261259229,5
RF,Tabular,asymmetric,0.0,0.910722492789156,0.00270868619496929,0.9429183665463873,0.001051786392949534,5
RF,Tabular,asymmetric,0.1,0.8967343110438171,0.002086366995302469,0.9344073282504677,0.0010653109142711675,5
RF,Tabular,asymmetric,0.2,0.8362670241079224,0.00462845262107234,0.9060027687688873,0.001769604866299226,5
